Code Zone,lat,lng,distance_vol_oiseau_km,temps_voiture_estime_min,nb_arrets_bus_500m,nb_arrets_tramway_500m,nb_taxis_500m,nb_ecoles_1km,nb_hopitaux_2km,nb_cliniques_2km,nb_pharmacies_500m,nb_supermarches_500m,nb_epiceries_500m,nb_mosquees_500m,nb_banques_1km,nb_restaurants_500m
CS-HH33,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH34,33.5711577,-7.6471452,3.481,10.9,10,2,0,12,3,19,5,3,1,1,50,5
CE-BM1,33.5542611,-7.5813658,5.583,17.4,13,0,0,13,5,1,5,0,0,2,30,0
CE-BM2,33.5542611,-7.5813658,5.583,17.4,13,0,0,13,5,1,5,0,0,2,30,0
CE-SB2,33.5386599,-7.5530852,8.642,27.0,10,0,1,2,1,0,4,1,0,1,6,0
CE-SB3,33.5376589,-7.564046,8.029,25.1,2,0,0,9,1,0,1,0,0,0,19,0
CE-SB4,33.5376589,-7.564046,8.029,25.1,2,0,0,9,1,0,1,0,0,0,19,0
CE-SB5,33.5384088,-7.5746587,7.364,23.0,19,0,0,12,2,0,6,0,0,3,19,3
CE-SB6,33.5412737,-7.569497,7.397,23.1,10,0,0,13,5,0,7,0,0,3,24,2
CE-MR9,33.5699037,-7.6828591,6.355,19.8,20,0,0,17,3,4,7,0,0,2,11,0
CE-SO1,33.5617797,-7.5715296,5.662,17.7,11,2,0,7,3,1,5,1,0,2,11,0
CE-SO2,33.5617797,-7.5715296,5.662,17.7,11,2,0,7,3,1,5,1,0,2,11,0
CE-SO3,33.5749192,-7.603575,2.504,7.8,5,2,0,12,10,10,7,0,0,4,26,1
CE-SO4,33.5617797,-7.5715296,5.662,17.7,11,2,0,7,3,1,5,1,0,2,11,0
CE-SO5,33.5617797,-7.5715296,5.662,17.7,11,2,0,7,3,1,5,1,0,2,11,0
CE-SO6,33.5605055,-7.5581006,6.766,21.1,11,4,0,6,5,2,3,3,0,2,14,0
