category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website,dist_motorway_m,dist_primary_m,dist_secondary_m,road_accessibility_score
banque_finance,5673410622,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5255206,-7.6505479,,,,,2524.0,736.0,35.0,0.442
banque_finance,5673410628,node,Attijarawafa Bank,bank,33.530159,-7.6483673,Boulevard Abu Baker El Kadiri,,,,3051.0,183.0,26.0,0.507
banque_finance,5673410629,node,Crédit du Maroc مصرف المغرب,bank,33.5314491,-7.6478644,Boulevard Abu Baker El Kadiri,,,,3193.0,33.0,15.0,0.747
banque_finance,5673410657,node,Attijarawafa Bank,bank,33.5409878,-7.6429613,Boulevard de Fès,,,,4251.0,304.0,42.0,0.43
banque_finance,5673630955,node,Banque Populaire البنك الشعبي,bank,33.5547306,-7.6784154,Boulevard Oued Tensift,,,,5217.0,2088.0,18.0,0.47
banque_finance,5673669979,node,CIH Bank القرض العقاري والسياحي,bank,33.5251628,-7.6506512,Boulevard Abu Baker El Kadiri,,,,2488.0,777.0,16.0,0.473
banque_finance,5673763946,node,Saham Bank سهام بنك,bank,33.5557487,-7.6764581,Boulevard Oued Beht,,,,5301.0,2067.0,24.0,0.46
banque_finance,5676425517,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5560544,-7.6849928,,,,,5498.0,1766.0,29.0,0.452
banque_finance,5676427678,node,Crédit Du Maroc,bank,33.5525193,-7.6847696,Boulevard Oued Sebou,,,,5115.0,2150.0,17.0,0.472
banque_finance,5682335735,node,Banque Populaire البنك الشعبي,bank,33.5862289,-7.63111,Boulevard Mohamed Zerktouni شارع محمد الزرقطوني,,,,8477.0,22.0,59.0,0.765
banque_finance,5682372973,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5896777,-7.6364395,,,,,8960.0,120.0,293.0,0.608
banque_finance,5682455522,node,Crédit du Maroc مصرف المغرب,bank,33.5865069,-7.6306435,,,,,8499.0,19.0,73.0,0.77
banque_finance,5682462217,node,BMCI البنك المغربي للتجارة والصناعة,bank,33.5901237,-7.6377075,Boulevard d'Anfa شارع أنفا,,,,9037.0,28.0,241.0,0.755
banque_finance,5682503619,node,BMCI البنك المغربي للتجارة والصناعة,bank,33.5858133,-7.6340188,Rue Abou Abdellah Nafii,,,,8489.0,108.0,51.0,0.627
banque_finance,5682651391,node,BMCI البنك المغربي للتجارة والصناعة,bank,33.5818046,-7.6390875,Boulevard Bir Anzarane,,,,8183.0,386.0,9.0,0.485
banque_finance,5682843432,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5784851,-7.6384901,,,,,7814.0,128.0,10.0,0.595
banque_finance,5682882945,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5511837,-7.6889183,,,,,5102.0,2227.0,21.0,0.465
banque_finance,5682882952,node,BMCI Bank,bank,33.5508155,-7.6888029,Route Haj Fateh,,,,5060.0,2269.0,12.0,0.48
banque_finance,5682994613,node,Saham Bank سهام بنك,bank,33.5527624,-7.6901528,Route Haj Fateh,,,,5308.0,2026.0,5.0,0.492
banque_finance,5682995957,node,Barid Cash,atm,33.5491675,-7.6846023,Rue 41,,,,4755.0,2164.0,30.0,0.45
banque_finance,5683330512,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5370195,-7.7264611,,,,,5551.0,1043.0,353.0,0.0
banque_finance,5683330672,node,Crédit du Maroc,bank,33.5352835,-7.7247727,Boulevard Assaoussane,,,,5303.0,1022.0,108.0,0.32
banque_finance,5683330673,node,Banque Populaire البنك الشعبي,bank,33.5352097,-7.724715,Boulevard Assaoussane,,,,5294.0,1021.0,98.0,0.337
banque_finance,5683330680,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5349246,-7.7244817,,,,,5256.0,1020.0,62.0,0.397
banque_finance,5683397706,node,BMCI Bank,bank,33.5346934,-7.7249901,Boulevard Assaoussane,,,,5270.0,1074.0,64.0,0.393
banque_finance,5685395061,node,Bank Al Yousr بنك اليسر,bank,33.5719661,-7.6474073,Boulevard Ghandi شارع غاندي,,,,7325.0,18.0,23.0,0.771
banque_finance,5685625658,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5428601,-7.6779225,Boulevard Oued Daoura,,,,3914.0,1232.0,15.0,0.475
banque_finance,5685625663,node,Banque Populaire البنك الشعبي,bank,33.5413913,-7.6769536,Boulevard Oued Daoura,,,,3735.0,1047.0,13.0,0.478
banque_finance,5685625680,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.53988,-7.6825292,,,,,3717.0,1206.0,7.0,0.488
banque_finance,5685625690,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5401718,-7.6827867,Route Haj Fateh,,,,3755.0,1247.0,7.0,0.488
banque_finance,5685625695,node,Crédit Du Maroc,bank,33.5404585,-7.6830677,Route Haj Fateh,,,,3794.0,1288.0,9.0,0.485
banque_finance,5685664892,node,BMCI البنك المغربي للتجارة والصناعة,bank,33.5744113,-7.64377,Boulevard Yacoub el Mansour,,,,7554.0,275.0,11.0,0.482
banque_finance,5685664914,node,Attijarawafa Bank,bank,33.5748718,-7.6424454,,,,,7557.0,195.0,11.0,0.488
banque_finance,5685664920,node,Attijarawafa Bank,bank,33.5695897,-7.6517496,Boulevard Yacoub el Mansour,,,,6969.0,429.0,20.0,0.467
banque_finance,5685742313,node,Crédit du Maroc مصرف المغرب,bank,33.5694344,-7.6530263,Boulevard Yacoub El Mansour شارع يعقوب المنصور,,,,6927.0,538.0,11.0,0.482
banque_finance,5685795433,node,Saham Bank سهام بنك,bank,33.5398119,-7.682082,Boulevard Mustapha Salamat شارع مصطفى سلمات,,,,3695.0,1177.0,9.0,0.485
banque_finance,5685795440,node,Banque Populaire البنك الشعبي,bank,33.5425605,-7.6841694,Route Haj Fateh,,,,4049.0,1539.0,18.0,0.47
banque_finance,5685864653,node,Crédit du Maroc مصرف المغرب,bank,33.5733487,-7.6450789,Boulevard Yacoub el Mansour,,,,7492.0,276.0,25.0,0.458
banque_finance,5685864655,node,CIH Bank القرض العقاري والسياحي,bank,33.5699853,-7.6516905,Boulevard Yacoub el Mansour,,,,7013.0,400.0,14.0,0.477
banque_finance,5685894072,node,BMCI Bank,bank,33.5468046,-7.681105,,,,,4411.0,1761.0,12.0,0.48
banque_finance,5685908645,node,Banque Populaire البنك الشعبي,bank,33.5729431,-7.6457588,Boulevard Yacoub el Mansour,,,,7472.0,199.0,20.0,0.482
banque_finance,5685981495,node,Crédit Du Maroc,bank,33.5443137,-7.6788553,Boulevard Oued Daoura,,,,4091.0,1414.0,13.0,0.478
